sample_id,burst_index,timestamp_ms,S0_410,S0_435,S0_460,S0_485,S0_510,S0_535,S0_560,S0_585,S0_610,S0_645,S0_680,S0_705,S0_730,S0_760,S0_810,S0_860,S0_900,S0_940,S1_410,S1_435,S1_460,S1_485,S1_510,S1_535,S1_560,S1_585,S1_610,S1_645,S1_680,S1_705,S1_730,S1_760,S1_810,S1_860,S1_900,S1_940,N0_410,N0_435,N0_460,N0_485,N0_510,N0_535,N0_560,N0_585,N0_610,N0_645,N0_680,N0_705,N0_730,N0_760,N0_810,N0_860,N0_900,N0_940,N1_410,N1_435,N1_460,N1_485,N1_510,N1_535,N1_560,N1_585,N1_610,N1_645,N1_680,N1_705,N1_730,N1_760,N1_810,N1_860,N1_900,N1_940
S0041,10,35983,0.000000,0.979217,0.000000,0.893093,-0.753441,0.686668,0.551744,0.520922,-0.000000,0.000000,0.000000,0.000000,5.666000,-1.034212,0.000000,0.000000,0.000000,1.106320,-0.805626,0.941923,0.000000,-0.823176,-0.736899,-0.000001,1.273903,0.000002,0.524125,-0.471053,0.000000,-0.994140,1.150604,-1.009566,-0.764598,0.000000,0.806348,0.000000,0.000000,0.094120,0.000000,0.085842,0.000000,0.066001,0.053032,0.050070,0.000000,0.000000,0.000000,0.000000,0.544600,0.000000,0.000000,0.000000,0.000000,0.106336,0.000000,0.200541,0.000000,0.000000,0.000000,0.000000,0.271222,0.000000,0.111589,0.000000,0.000000,0.000000,0.244971,0.000000,0.000000,0.000000,0.171676,0.000000
S0041,11,38660,0.000000,0.979217,0.000000,0.893093,-0.753441,0.686668,0.551744,0.520922,-0.000000,0.000000,0.000000,0.000000,5.666000,0.000000,0.000000,0.000000,0.000000,1.106320,-0.805626,0.000000,0.000000,-0.823176,-0.736899,-0.641255,-0.636953,-1.212437,0.000000,-0.471053,0.000000,-0.994140,-4.602379,-2.019130,-0.764598,0.000000,0.000000,0.000000,0.000000,0.094120,0.000000,0.085842,0.000000,0.066001,0.053032,0.050070,0.000000,0.000000,0.000000,0.000000,0.544600,0.000000,0.000000,0.000000,0.000000,0.106336,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
S0041,12,41265,0.000000,-0.979217,0.000000,0.000000,-0.753441,-1.373331,0.000000,0.000000,-0.446913,-0.435560,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.611256,0.000000,-0.877958,-1.646352,-0.736899,-1.923764,-1.273907,-1.212439,-0.524125,-0.471053,0.000000,0.000000,-8.054177,-2.019130,-0.764598,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
S0041,13,43924,0.000000,0.979218,0.925961,0.893093,0.000000,0.686666,0.551744,0.520920,-0.000000,0.000000,0.000000,0.000000,5.666008,1.034212,0.000000,0.000000,0.000000,0.000000,-0.805626,0.000000,-0.877958,-1.646352,-0.736899,-1.282510,-1.273907,-1.212439,-0.524125,-0.942106,0.000000,-0.994140,-8.054177,-1.009566,-0.764598,0.000000,0.000000,0.000000,0.000000,0.086981,0.082250,0.079331,0.000000,0.060995,0.049010,0.046272,0.000000,0.000000,0.000000,0.000000,0.503295,0.091866,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
S0041,14,46535,0.000000,0.000000,0.925961,0.893093,-0.753441,0.000000,-0.000001,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000004,0.000000,0.000000,0.000000,0.000000,0.000000,-0.805628,0.941923,-0.877958,-0.823175,0.000000,-0.641254,-0.636953,-0.606218,0.000000,-0.471053,0.000000,0.000000,-3.451790,-1.009566,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.509033,0.490965,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000002,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
S0041,15,49107,0.000000,0.979218,0.925961,0.893093,0.000000,0.686668,0.551744,0.520920,-0.000000,0.000000,0.000000,0.000000,5.666008,0.000000,0.000000,0.000000,0.000000,0.000000,-1.611256,0.000000,-0.877958,-0.823175,0.000000,0.000000,-0.636953,-1.212437,0.000000,-0.471053,0.000000,0.000000,-3.451790,-1.009566,-0.764598,0.000000,0.000000,0.000000,0.000000,0.095780,0.090571,0.087356,0.000000,0.067165,0.053968,0.050953,0.000000,0.000000,0.000000,0.000000,0.554208,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
S0041,16,51778,0.837885,1.958433,0.925961,0.893093,0.000000,2.059999,1.103489,1.041841,0.446913,0.000000,0.000000,0.000000,7.932404,0.000000,0.000000,0.000000,0.000000,0.000000,-0.805626,0.000000,-0.877958,-0.823176,-0.736899,-1.282510,-3.184761,-3.031097,-1.048250,-0.942106,0.000000,-0.994140,-12.656563,-1.009565,-0.764598,0.000000,-0.806348,0.000000,0.048714,0.113862,0.053835,0.051924,0.000000,0.119767,0.064156,0.060572,0.025983,0.000000,0.000000,0.000000,0.461186,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
S0041,17,54400,0.000000,0.979218,0.925961,0.893093,-0.753441,0.686668,0.551743,0.520920,-0.000000,-0.435560,0.000000,0.000000,4.532806,1.034211,0.000000,0.000000,0.000000,0.000000,-0.805626,0.941923,0.000000,0.000000,0.000000,0.641254,1.273903,0.606222,1.048250,0.000000,0.000000,0.000000,4.602394,0.000000,-0.764598,0.000000,0.806348,0.000000,0.000000,0.096716,0.091456,0.088210,0.000000,0.067822,0.054495,0.051451,0.000000,0.000000,0.000000,0.000000,0.447701,0.102148,0.000000,0.000000,0.000000,0.000000,0.000000,0.094949,0.000000,0.000000,0.000000,0.064641,0.128414,0.061109,0.105667,0.000000,0.000000,0.000000,0.463937,0.000000,0.000000,0.000000,0.081283,0.000000
S0041,18,56939,0.000000,0.979217,0.000000,0.893093,-0.753441,0.686666,0.551744,0.520922,-0.000000,0.000000,0.000000,0.000000,4.532799,0.000000,0.000000,0.000000,0.000000,0.000000,-0.805626,0.941923,0.000000,-0.823176,-0.736899,-0.641255,-1.273905,-0.606216,0.000000,-0.471053,0.000000,-0.994140,-4.602379,-1.009566,-0.764598,0.000000,0.000000,0.000000,0.000000,0.119937,0.000000,0.109388,0.000000,0.084105,0.067579,0.063804,0.000000,0.000000,0.000000,0.000000,0.555188,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
S0041,19,59550,0.000000,0.979217,0.000000,0.893093,-0.753441,0.686666,0.551744,0.520922,-0.000000,0.000000,0.000000,0.000000,4.532799,0.000000,0.000000,0.000000,0.000000,0.000000,-0.805626,0.941923,0.000000,-0.823176,-0.736899,-0.641255,-0.636953,-0.606216,0.000000,-0.471053,0.000000,-0.994140,-4.602379,0.000000,-0.764598,0.000000,0.000000,0.000000,0.000000,0.119937,0.000000,0.109388,0.000000,0.084105,0.067579,0.063804,0.000000,0.000000,0.000000,0.000000,0.555188,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
